# f (Hz), Re{G(jw)}, Im{G(jw)}
55.20000000,0.00130188,-0.02397123
55.30000000,0.00142409,-0.02387459
55.40000000,0.00154952,-0.02394667
55.50000000,0.00162224,-0.02396071
55.60000000,0.00165057,-0.02395316
55.70000000,0.00163671,-0.02408350
55.80000000,0.00148686,-0.02409182
55.90000000,0.00144100,-0.02408555
56.00000000,0.00128309,-0.02397552
56.10000000,0.00118048,-0.02383448
56.20000000,0.00122413,-0.02365698
56.30000000,0.00112105,-0.02352525
56.40000000,0.00137254,-0.02330811
56.50000000,0.00139297,-0.02338846
56.60000000,0.00148524,-0.02343673
56.70000000,0.00160751,-0.02332996
56.80000000,0.00154751,-0.02338124
56.90000000,0.00150197,-0.02348045
57.00000000,0.00146304,-0.02355494
57.10000000,0.00134348,-0.02357706
57.20000000,0.00122268,-0.02343516
57.30000000,0.00117667,-0.02327012
57.40000000,0.00114599,-0.02308199
57.50000000,0.00113315,-0.02293875
57.60000000,0.00119109,-0.02295631
57.70000000,0.00128172,-0.02280818
57.80000000,0.00142823,-0.02280351
57.90000000,0.00148028,-0.02277743
58.00000000,0.00152256,-0.02292030
58.10000000,0.00148286,-0.02292621
58.20000000,0.00142124,-0.02291464
58.30000000,0.00136584,-0.02297305
58.40000000,0.00115280,-0.02295530
58.50000000,0.00112109,-0.02281888
58.60000000,0.00112054,-0.02272163
58.70000000,0.00097659,-0.02252120
58.80000000,0.00106155,-0.02236868
58.90000000,0.00120709,-0.02238664
59.00000000,0.00123923,-0.02215179
59.10000000,0.00137423,-0.02224238
59.20000000,0.00152870,-0.02223700
59.30000000,0.00149274,-0.02237376
59.40000000,0.00149303,-0.02238908
59.50000000,0.00129415,-0.02250871
59.60000000,0.00128885,-0.02245005
59.70000000,0.00119193,-0.02239213
59.80000000,0.00108366,-0.02241176
59.90000000,0.00101122,-0.02220546
60.00000000,0.00100915,-0.02196512
60.10000000,0.00102492,-0.02190470
60.20000000,0.00112029,-0.02181712
60.30000000,0.00122013,-0.02175084
60.40000000,0.00122591,-0.02182553
60.50000000,0.00144594,-0.02180082
60.60000000,0.00142028,-0.02173088
60.70000000,0.00135670,-0.02184481
60.80000000,0.00141063,-0.02182572
60.90000000,0.00128064,-0.02188593
61.00000000,0.00120881,-0.02190838
61.10000000,0.00111956,-0.02181000
61.20000000,0.00106493,-0.02172266
61.30000000,0.00098267,-0.02157585
61.40000000,0.00092142,-0.02145757
61.50000000,0.00101725,-0.02138542
61.60000000,0.00113862,-0.02122362
61.70000000,0.00107462,-0.02124427
61.80000000,0.00118360,-0.02111780
61.90000000,0.00118979,-0.02117240
62.00000000,0.00133253,-0.02115612
62.10000000,0.00128470,-0.02123780
62.20000000,0.00130816,-0.02130371
62.30000000,0.00126063,-0.02135871
62.40000000,0.00113916,-0.02139028
62.50000000,0.00102349,-0.02129489
62.60000000,0.00095283,-0.02109609
62.70000000,0.00094833,-0.02121197
62.80000000,0.00093741,-0.02095750
62.90000000,0.00091043,-0.02088571
63.00000000,0.00106645,-0.02077645
63.10000000,0.00100515,-0.02064726
63.20000000,0.00117352,-0.02069520
63.30000000,0.00112929,-0.02074179
63.40000000,0.00127078,-0.02067163
63.50000000,0.00130572,-0.02068641
63.60000000,0.00137938,-0.02075232
63.70000000,0.00124483,-0.02079414
63.80000000,0.00118666,-0.02086323
63.90000000,0.00110171,-0.02088963
64.00000000,0.00099122,-0.02078097
64.10000000,0.00091905,-0.02077477
64.20000000,0.00085467,-0.02069857
64.30000000,0.00080038,-0.02042376
64.40000000,0.00078371,-0.02041785
64.50000000,0.00093786,-0.02031146
64.60000000,0.00090814,-0.02024688
64.70000000,0.00105522,-0.02017250
64.80000000,0.00108715,-0.02006538
64.90000000,0.00123505,-0.02015136
65.00000000,0.00120969,-0.02013780
65.10000000,0.00137480,-0.02024271
65.20000000,0.00119160,-0.02024600
65.30000000,0.00118893,-0.02025604
65.40000000,0.00115621,-0.02024296
65.50000000,0.00101573,-0.02034135
65.60000000,0.00098592,-0.02027912
65.70000000,0.00092014,-0.02008246
65.80000000,0.00073105,-0.02018486
65.90000000,0.00078372,-0.02002717
66.00000000,0.00077014,-0.01976173
66.10000000,0.00087479,-0.01979238
66.20000000,0.00092918,-0.01963675
66.30000000,0.00099967,-0.01959840
66.40000000,0.00101518,-0.01962136
66.50000000,0.00111411,-0.01950989
66.60000000,0.00110073,-0.01952748
66.70000000,0.00120675,-0.01961188
66.80000000,0.00114620,-0.01965962
66.90000000,0.00112255,-0.01973664
